year,stationName,ridership,longitude,latitude
2015,Songshan Airport,1996920,121.55163511046534,25.063104462027813
2015,Zhongshan Junior High School,5264138,121.54421643863033,25.06080611270273
2015,Nanjing Fuxing,11111846,121.54403933590369,25.052292279432056
2015,Zhongxiao Fuxing,18324235,121.54379399916067,25.041602162432408
2015,Daan,7454570,121.5436261083644,25.0328205730737
2015,Technology Building,4964878,121.54345147194539,25.025991976477005
2015,Liuzhangli,3851782,121.55305797318083,25.023844875733175
2015,Linguang,1401124,121.55882703203744,25.018523230734115
2015,Xinhai,1076264,121.55701024355297,25.005383562847964
2015,Wanfang Hospital,4836268,121.55802856133452,24.999504452038764
2015,Wanfang Community,753260,121.56806667867862,24.998607713500114
2015,Muzha,1482146,121.57317598186135,24.998253352528412
2015,Taipei Zoo,3005994,121.57932507629135,24.99827748528025
2015,Dazhi,3268800,121.54814855983457,25.080477334160324
2015,Jiannann Rd.,3995944,121.55560715358948,25.08489845647162
2015,Xihu,4935526,121.5672124577793,25.08216141473821
2015,Gangquian,4521754,121.57528311843348,25.079995003678402
2015,Wende,1829812,121.58496851543221,25.078533106268527
2015,Neihu,2799713,121.59420587019453,25.083505565019824
2015,Dahu Park,1194894,121.6023129070467,25.08380866638897
2015,Huzhou,2711150,121.60724154576957,25.072689271218778
2015,Donghu,2833424,121.61173723205351,25.06757795298427
2015,Nangang Software Park,1176860,121.61595418159499,25.0598989938964
2015,Taipei Nangang Exhibition Center,10024506,121.61762249277858,25.0545656791777
2015,Xiaobitan,813312,121.53529784254445,24.969554205353514
2015,Xindian,4093322,121.53761004105189,24.957871647770506
2015,Xindian District Office,3957598,121.54129865593423,24.9673944308081
2015,Qizhang,5365730,121.54291090576598,24.975082925897777
2015,Dapinglin,6884936,121.5413660346038,24.98291383339667
2015,Jingmei,5572085,121.5409209921252,24.993178356596204
2015,Wanlong,3188282,121.53900226954173,25.00196532519868
2015,Gongguan,10618473,121.53434703188556,25.01470748237314
2015,Taipower Building,6864064,121.52818732580072,25.02069268144765
2015,Guting,11160680,121.52256794084464,25.026885634859767
2015,Chiang Kai-Shek Memorial Hall,9927824,121.51704931955275,25.03427427019356
2015,Xiaonannmen,2560676,121.510781764249,25.035672778690685
2015,Dingxi,12240908,121.51544988024695,25.0136186456844
2015,Yongan Market,8978166,121.51112538697048,25.00255587953482
2015,Jingan,8718745,121.5050907781828,24.993922031758036
2015,Nanshijiao,7174804,121.50917264645942,24.99040853151986
2015,NTU Hospital,7799319,121.51622007732429,25.041827029154884
2015,Taipei Main Station,56521820,121.5174380246453,25.046233083441123
2015,Zhongshan,13241420,121.52039689994804,25.052675664748175
2015,Shuanglian,7783823,121.52070999301614,25.05764686024377
2015,Minquan W. Rd.,8333128,121.51936274027929,25.06287666536337
2015,Yuanshan,9658536,121.52013178478053,25.071380222093712
2015,Jiantan,13206452,121.52496914164323,25.084236417468688
2015,Shilin,10544201,121.52619154203938,25.093473979666292
2015,Zhishan,8380566,121.52254228458312,25.10281102722776
2015,Mingde,4214218,121.51882040916377,25.10979393588559
2015,Shipai,10524056,121.51564228487027,25.114420305321463
2015,Qilian,2558619,121.5062648104665,25.12085794562379
2015,Qiyan,2706124,121.50108298243138,25.125584855497433
2015,Beitou,6216018,121.49859115986241,25.131907048775716
2015,Xinbeitou,2531616,121.50253117138534,25.136936401899067
2015,Fuxinggang,1235032,121.48520813535161,25.137446811852804
2015,Zhongyi,942736,121.4731222409703,25.13075088521668
2015,Guandu,4248670,121.46719972493716,25.12578471313959
2015,Zhuwei,3443474,121.45945645181078,25.13694903321136
2015,Hongshulin,2611707,121.45895451204613,25.154114157533733
2015,Tamsui,14424645,121.4452583081884,25.167993283329395
2015,Dingpu,3800828,121.41927,24.95975
2015,Yongning,3374865,121.43682729636676,24.967220823923835
2015,Tucheng,4627944,121.4444515781318,24.97322601982389
2015,Haishan,6576301,121.44887528615253,24.985548276090636
2015,Far Eastern Hospital,8138278,121.45264887598302,24.998589027397475
2015,Fuzhong,11710054,121.45921891977315,25.008934844943454
2015,BL-Banqiao,14141754,121.46242,25.01409
2015,Xinpu,11203183,121.46798702828231,25.022995948446365
2015,Jiangzicui,9319488,121.4722367606001,25.029904942785876
2015,Longshan Temple,17472016,121.50122086189029,25.035229130503158
2015,Ximen,16742820,121.50848773359857,25.042212597087047
2015,Shandao Temple,9090244,121.5233401885831,25.044813009018718
2015,Zhongxiao Xinsheng,12466642,121.53291875841308,25.042354841091935
2015,Zhongxiao Dunhua,11253318,121.54965595628077,25.04149480094372
2015,Sun Yat-Sen Memorial Hall,14168842,121.5576889492678,25.04134746745301
2015,Taipei City Hall,13982050,121.5652594540565,25.04117889109046
2015,Yongchun,6463699,121.57587285864736,25.040863616679307
2015,Houshanpi,5470884,121.58200407698276,25.04427855362814
2015,Kunyang,4423156,121.5930201123863,25.050188656620406
2015,Nangang,3697540,121.60763420834738,25.052178378321834
2015,Xiangshan,6853814,121.57066633691176,25.032793324340496
2015,Taipei101/World Trade Center,8107255,121.56349009453884,25.03297947915487
2015,Xinyi Anhe,4085210,121.55323253075672,25.03315004254659
2015,Daan Park,2360640,121.5353080284314,25.03353525107303
2015,Beimen,6652548,121.5102786459113,25.049294237623993
2015,Songjiang Nanjing,9012778,121.53304925954893,25.052024514344147
2015,Taipei Arena,6572421,121.55200315528758,25.05164724218637
2015,Nanjing Sanmin,6579032,121.5643968828404,25.05143632091201
2015,Songshan,5409880,121.57773339237647,25.050001706485414
2015,Fu Jen University,3829096,121.43581241981629,25.032768730074984
